T,rec_id,converged,num_converged,num_incomplete,num_not_converged,num_hit_maxiter,num_diverged,num_crashed,num_error_should_be_converged,num_no_data,best_N,best_m,best_iter,min_N_converged,min_m_converged,median_iter,converged_T
T10,48,yes,49,0,0,0,0,0,0,0,5,160,121.0,5,5,1236.0,
T10,49,yes,49,0,0,0,0,0,0,0,5,160,73.0,5,5,1216.0,
T10,50,yes,49,0,0,0,0,0,0,0,5,160,78.0,5,5,1200.0,
T10,51,yes,49,0,0,0,0,0,0,0,5,320,90.0,5,5,1305.0,
T10,52,yes,49,0,0,0,0,0,0,0,10,320,100.0,5,5,1117.0,
T10,53,yes,49,0,0,0,0,0,0,0,5,320,72.0,5,5,638.0,
T10,54,yes,49,0,0,0,0,0,0,0,5,320,123.0,5,5,1130.0,
T10,55,yes,49,0,0,0,0,0,0,0,5,320,79.0,5,5,1055.0,
T10,56,yes,49,0,0,0,0,0,0,0,5,160,72.0,5,5,1213.0,
T10,57,yes,49,0,0,0,0,0,0,0,5,160,94.0,5,5,949.0,
T10,58,yes,49,0,0,0,0,0,0,0,5,320,111.0,5,5,1326.0,
T10,59,yes,49,0,0,0,0,0,0,0,5,160,87.0,5,5,1289.0,
T10,60,yes,49,0,0,0,0,0,0,0,10,320,77.0,5,5,1206.0,
T10,61,yes,48,0,0,0,0,0,0,1,40,320,182.0,5,5,1640.5,
T10,62,yes,49,0,0,0,0,0,0,0,10,320,169.0,5,5,2020.0,
T10,63,yes,49,0,0,0,0,0,0,0,10,160,136.0,5,5,1638.0,
T10,64,yes,49,0,0,0,0,0,0,0,10,320,109.0,5,5,1361.0,
T10,65,yes,49,0,0,0,0,0,0,0,5,160,82.0,5,5,1147.0,
T10,66,yes,49,0,0,0,0,0,0,0,5,320,88.0,5,5,1183.0,
T10,67,yes,49,0,0,0,0,0,0,0,5,160,94.0,5,5,1383.0,
T10,68,yes,49,0,0,0,0,0,0,0,5,160,64.0,5,5,1119.0,
T10,69,yes,49,0,0,0,0,0,0,0,5,160,53.0,5,5,1284.0,
